,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,rooms,bus_stop,subway,park,school,police,hospital,parrilla,gimnasio,sum,pileta,hidromasaje,vigilancia,playrooom,cancha,solarium,al_frente,nuevo,lavadero,aire,calefaccion,luminoso,garage,balcon,baulera,terraza
3127,163000.0,56.0,56.0,2910.714285714286,2910.714285714286,2.0,8.0,0.0,0.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
3128,255000.0,84.0,84.0,3035.714285714286,3035.714285714286,3.0,8.0,0.0,0.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
3129,210000.0,100.0,75.0,2100.0,2800.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
3142,125000.0,53.0,50.0,2358.490566037736,2500.0,3.0,10.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3148,740000.0,300.0,270.0,2466.6666666666665,2740.740740740741,8.0,6.0,1.0,1.0,4.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1
3152,290000.0,93.0,87.0,3118.2795698924733,3333.333333333333,4.0,13.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0
3153,175000.0,59.0,55.0,2966.101694915254,3181.818181818182,2.0,10.0,1.0,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1
3154,210000.0,59.0,55.0,3559.322033898305,3818.181818181818,2.0,10.0,1.0,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1
3157,1140000.0,300.0,280.0,3800.0,4071.4285714285716,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0
3164,255000.0,85.0,73.0,3000.0,3493.150684931507,3.0,6.0,0.0,1.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0
3165,295000.0,100.0,90.0,2950.0,3277.777777777778,3.0,6.0,0.0,1.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0
3177,419000.0,105.0,94.0,3990.476190476191,4457.446808510638,3.0,4.0,0.0,0.0,2.0,0.0,0.0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
3186,490000.0,180.0,180.0,2722.222222222222,2722.222222222222,4.0,13.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
3187,115000.0,44.0,40.0,2613.6363636363635,2875.0,2.0,9.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3188,135000.0,49.0,43.0,2755.1020408163267,3139.534883720931,2.0,20.0,1.0,4.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3189,210000.0,100.0,75.0,2100.0,2800.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
3192,124000.0,52.0,45.0,2384.615384615385,2755.555555555556,2.0,12.0,0.0,0.0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
3194,175000.0,75.0,70.0,2333.333333333333,2500.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0
3195,565000.0,177.0,160.0,3192.090395480225,3531.25,5.0,11.0,0.0,2.0,2.0,0.0,0.0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0
3214,170000.0,68.0,59.0,2500.0,2881.35593220339,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
3240,269000.0,110.0,105.0,2445.454545454545,2561.904761904762,4.0,20.0,1.0,4.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
3253,148000.0,58.0,45.0,2551.7241379310344,3288.888888888889,2.0,10.0,0.0,0.0,4.0,0.0,0.0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3254,450000.0,127.0,127.0,3543.307086614173,3543.307086614173,4.0,3.0,0.0,2.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
3256,850000.0,230.0,207.0,3695.652173913044,4106.280193236715,5.0,10.0,0.0,6.0,0.0,0.0,0.0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
3263,800000.0,130.0,130.0,6153.846153846153,6153.846153846153,3.0,4.0,0.0,3.0,0.0,1.0,0.0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
3328,260000.0,100.0,94.0,2600.0,2765.9574468085107,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
3352,110000.0,51.0,39.0,2156.8627450980393,2820.5128205128203,2.0,2.0,0.0,1.0,4.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
3353,398000.0,166.0,146.0,2397.590361445783,2726.027397260274,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3355,105000.0,43.0,43.0,2441.860465116279,2441.860465116279,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3363,94000.0,37.0,34.0,2540.5405405405404,2764.7058823529414,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3364,210000.0,85.0,80.0,2470.5882352941176,2625.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
3383,175000.0,45.0,38.0,3888.888888888889,4605.263157894737,2.0,12.0,0.0,0.0,2.0,0.0,0.0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0
3386,649000.0,224.0,204.0,2897.3214285714284,3181.372549019608,5.0,12.0,0.0,5.0,0.0,0.0,0.0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1
3393,165000.0,53.0,42.0,3113.2075471698113,3928.571428571429,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
3394,159000.0,53.0,42.0,3000.0,3785.714285714286,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
3395,108000.0,37.0,33.0,2918.918918918919,3272.7272727272725,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
3398,245000.0,93.0,88.0,2634.4086021505373,2784.090909090909,3.0,11.0,0.0,2.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1
3399,350000.0,100.0,92.0,3500.0,3804.347826086957,5.0,1.0,0.0,1.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0
3400,330000.0,179.0,148.0,1843.5754189944128,2229.7297297297296,5.0,9.0,0.0,2.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
3401,265000.0,74.0,68.0,3581.081081081081,3897.058823529412,3.0,5.0,0.0,4.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
3402,150000.0,42.0,42.0,3571.4285714285716,3571.4285714285716,2.0,9.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
3403,620000.0,230.0,215.0,2695.6521739130435,2883.720930232558,6.0,1.0,0.0,1.0,3.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0
3415,120000.0,38.0,38.0,3157.894736842105,3157.894736842105,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3435,460000.0,128.0,128.0,3593.75,3593.75,5.0,10.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
3479,195000.0,72.0,72.0,2708.333333333333,2708.333333333333,3.0,2.0,0.0,5.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
3480,122000.0,55.0,55.0,2218.181818181818,2218.181818181818,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3481,1190000.0,295.0,280.0,4033.898305084746,4250.0,5.0,11.0,0.0,4.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
3520,950000.0,270.0,180.0,3518.518518518519,5277.777777777777,8.0,1.0,0.0,2.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
3521,159000.0,55.0,46.0,2890.909090909091,3456.521739130435,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
3543,370000.0,150.0,150.0,2466.6666666666665,2466.6666666666665,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0
3544,749000.0,221.0,221.0,3389.140271493213,3389.140271493213,4.0,8.0,0.0,5.0,0.0,0.0,1.0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1
3559,795000.0,260.0,240.0,3057.6923076923076,3312.5,5.0,3.0,0.0,5.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
3572,280000.0,79.0,75.0,3544.3037974683543,3733.333333333334,3.0,8.0,0.0,1.0,1.0,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3573,248000.0,120.0,100.0,2066.6666666666665,2480.0,4.0,9.0,0.0,1.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1
3575,115000.0,40.0,36.0,2875.0,3194.4444444444453,1.0,10.0,0.0,0.0,2.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
3578,235000.0,104.0,92.0,2259.615384615385,2554.3478260869565,4.0,13.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
3597,480000.0,98.0,98.0,4897.959183673469,4897.959183673469,3.0,7.0,0.0,7.0,0.0,1.0,0.0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1
3618,290000.0,70.0,70.0,4142.857142857143,4142.857142857143,3.0,8.0,0.0,4.0,1.0,0.0,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1
3623,270000.0,122.0,105.0,2213.114754098361,2571.428571428572,4.0,9.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0
