,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,rooms,bus_stop,subway,park,school,police,hospital,parrilla,gimnasio,sum,pileta,hidromasaje,vigilancia,playrooom,cancha,solarium,al_frente,nuevo,lavadero,aire,calefaccion,luminoso,garage,balcon,baulera,terraza,Almagro,Barrio Norte,Belgrano,Caballito,Flores,Palermo,Recoleta,San Telmo,Villa Crespo,Villa Urquiza
29,-34.5888617,-58.41230720000001,147300.0,39.0,35.0,3776.9230769230767,4208.571428571428,1.0,11.0,1.0,0.0,1.0,0.0,0.0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
30,-34.5620844,-58.4566864,340000.0,128.0,120.0,2656.25,2833.333333333333,4.0,20.0,1.0,4.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
31,-34.5955984,-58.4127129,120000.0,33.0,33.0,3636.363636363637,3636.363636363637,1.0,7.0,0.0,1.0,4.0,0.0,2.0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
32,-34.5664787494,-58.4340748222,440000.0,175.0,175.0,2514.285714285714,2514.285714285714,4.0,7.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
33,-34.56178060000001,-58.4928894,267500.0,127.0,123.0,2106.299212598425,2174.7967479674803,4.0,4.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
34,-34.5950254,-58.4381255,305000.0,120.0,114.0,2541.6666666666665,2675.438596491228,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
35,-34.5837821,-58.40422750000001,98000.0,37.0,37.0,2648.648648648649,2648.648648648649,3.0,12.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,-34.5765042465,-58.4314684478,135000.0,47.0,41.0,2872.340425531915,3292.682926829268,2.0,14.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
37,-34.582680955727966,-58.42436832577609,770000.0,153.0,153.0,5032.679738562091,5032.679738562091,4.0,3.0,0.0,0.0,3.0,0.0,0.0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0
38,-34.6173252463,-58.4492611885,70500.0,30.0,30.0,2350.0,2350.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
