,Unnamed: 0.1,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,rooms,bus_stop,subway,park,school,police,hospital,Almagro,Barrio Norte,Belgrano,Caballito,Flores,Palermo,Recoleta,San Telmo,Villa Crespo,Villa Urquiza,_parrilla,_gimnasio,_sum,_pileta,_hidromasaje,_vigilancia,_playrooom,_cancha,_solarium,_al_frente,_nuevo?,_lavadero,_aire,_calefaccion,_luminoso,_garage,_balcon,_baulera,_terraza
143,1175,660000.0,160.0,152.0,4125.0,4342.105263157895,4.0,4.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0
144,1178,590000.0,247.0,116.0,2388.663967611336,5086.206896551725,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
145,1179,438000.0,130.0,121.0,3369.230769230769,3619.834710743801,4.0,8.0,0.0,4.0,2.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0
146,1274,240000.0,76.0,76.0,3157.894736842105,3157.894736842105,3.0,10.0,1.0,0.0,3.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
147,1276,2850000.0,529.0,431.0,5387.523629489603,6612.529002320185,7.0,10.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1
148,1278,420000.0,148.0,134.0,2837.837837837838,3134.328358208956,4.0,7.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
149,1309,249000.0,89.0,82.0,2797.752808988764,3036.5853658536585,4.0,0.0,0.0,6.0,3.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0
150,1341,1380000.0,260.0,260.0,5307.692307692308,5307.692307692308,6.0,10.0,0.0,0.0,4.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
151,1366,194000.0,60.0,60.0,3233.333333333333,3233.333333333333,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
152,1369,135000.0,43.0,39.0,3139.534883720931,3461.5384615384614,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
153,1371,940000.0,227.0,227.0,4140.969162995595,4140.969162995595,7.0,5.0,0.0,2.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0
154,1374,95000.0,40.0,29.0,2375.0,3275.8620689655168,1.0,8.0,0.0,2.0,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
155,1385,245000.0,103.0,95.0,2378.6407766990287,2578.9473684210525,4.0,20.0,1.0,0.0,5.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
156,1391,73038.0,38.0,34.0,1922.0526315789475,2148.1764705882347,1.0,12.0,1.0,1.0,3.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1
157,1392,79712.0,44.0,38.0,1811.6363636363642,2097.684210526316,1.0,6.0,0.0,0.0,4.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0
