,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,rooms,Almagro,Barrio Norte,Belgrano,Caballito,Flores,Palermo,Recoleta,San Telmo,Villa Crespo,Villa Urquiza,_parrilla,_gimnasio,_sum,_pileta,_hidromasaje,_vigilancia,_playrooom,_cancha,_solarium,_al_frente,_nuevo?,_lavadero,_aire,_calefaccion,_luminoso,_garage,_balcon,_baulera,_terraza
148,420000.0,148.0,134.0,2837.837837837838,3134.328358208956,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
149,249000.0,89.0,82.0,2797.752808988764,3036.5853658536585,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0
150,1380000.0,260.0,260.0,5307.692307692308,5307.692307692308,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
151,194000.0,60.0,60.0,3233.333333333333,3233.333333333333,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
152,135000.0,43.0,39.0,3139.534883720931,3461.5384615384614,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
153,940000.0,227.0,227.0,4140.969162995595,4140.969162995595,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0
154,95000.0,40.0,29.0,2375.0,3275.8620689655168,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
155,245000.0,103.0,95.0,2378.6407766990287,2578.9473684210525,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
156,73038.0,38.0,34.0,1922.0526315789475,2148.1764705882347,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1
157,79712.0,44.0,38.0,1811.6363636363642,2097.684210526316,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0
158,1850000.0,360.0,360.0,5138.888888888889,5138.88888888889,5.0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
161,81200.0,35.0,32.0,2320.0,2537.5,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1
162,104156.0,48.0,48.0,2169.9166666666665,2169.9166666666665,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
163,102072.29,35.0,35.0,2916.351142857143,52000.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
164,111100.0,44.0,44.0,2525.0,2525.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0
165,96250.8,37.0,37.0,2601.372972972973,46383.78378378379,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
166,120000.0,42.0,42.0,2857.142857142857,2857.142857142857,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
167,118526.0,42.0,42.0,2822.0476190476193,2822.0476190476197,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
168,119144.0,42.0,42.0,2836.7619047619046,2836.761904761905,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
169,119761.0,42.0,42.0,2851.4523809523807,2851.452380952381,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
170,120378.0,42.0,42.0,2866.1428571428573,2866.142857142857,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
171,127710.0,40.0,40.0,3192.75,3192.75,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
172,128393.0,40.0,40.0,3209.825,3209.825,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
173,129076.0,40.0,40.0,3226.9,3226.9,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
174,132437.0,40.0,40.0,3310.925,3310.925,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
175,133130.0,40.0,40.0,3328.25,3328.25,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
176,275000.0,82.0,82.0,3353.6585365853657,3353.6585365853657,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
180,89500.0,41.0,41.0,2182.9268292682927,2182.9268292682927,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
181,264000.0,122.0,122.0,2163.934426229508,2163.934426229508,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1
